(A/G) , Male , Female
7 , 1649 , 1530
8 , 1745 , 1625
9 , 1840 , 1721
10 , 2032 , 1936
11 , 2133 , 2036
12 , 2269 , 2109
13 , 2414 , 2223
14 , 2629 , 2342
15 , 2820 , 2390
16 , 2962 , 2462
17 , 3083 , 2462
18 , 3155 , 2462
