(A/G) , Male , Female
7 , 10.5 , 10.5
8 , 10.25 , 10.25
9 , 10 , 10
10 , 9.75 , 9.75
11 , 9.5 , 9.5
12 , 9.25 , 9.25
13 , 9.25 , 9.25
14 , 9 , 9
15 , 9 , 9
16 , 9 , 9
